-------------------------------------------------------------------------------
NGINX Ingress controller
  Release:       v0.44.0
  Build:         f802554ccfadf828f7eb6d3f9a9333686706d613
  Repository:    https://github.com/kubernetes/ingress-nginx
  nginx version: nginx/1.19.6

-------------------------------------------------------------------------------

I0511 00:22:13.877085       7 flags.go:208] "Watching for Ingress" class="public"
W0511 00:22:13.877188       7 flags.go:211] Only Ingresses with class "public" will be processed by this Ingress controller
W0511 00:22:13.878665       7 client_config.go:614] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
I0511 00:22:13.879331       7 main.go:241] "Creating API client" host="https://10.152.183.1:443"
I0511 00:22:13.973233       7 main.go:285] "Running in Kubernetes cluster" major="1" minor="21+" git="v1.21.0-3+121713cef81e03" state="clean" commit="121713cef81e0316fb97af2111e1d3aeac3fd14a" platform="linux/amd64"
I0511 00:22:14.816786       7 main.go:105] "SSL fake certificate created" file="/etc/ingress-controller/ssl/default-fake-certificate.pem"
I0511 00:22:14.849082       7 main.go:115] "Enabling new Ingress features available since Kubernetes v1.18"
I0511 00:22:15.071251       7 nginx.go:254] "Starting NGINX Ingress controller"
I0511 00:22:15.171030       7 event.go:282] Event(v1.ObjectReference{Kind:"ConfigMap", Namespace:"ingress", Name:"nginx-ingress-tcp-microk8s-conf", UID:"e4698d6d-5a09-425e-a07c-c256460a71dd", APIVersion:"v1", ResourceVersion:"173771", FieldPath:""}): type: 'Normal' reason: 'CREATE' ConfigMap ingress/nginx-ingress-tcp-microk8s-conf
I0511 00:22:15.187886       7 event.go:282] Event(v1.ObjectReference{Kind:"ConfigMap", Namespace:"ingress", Name:"nginx-load-balancer-microk8s-conf", UID:"f7f6ff56-1233-4c45-ae12-dce984fe409c", APIVersion:"v1", ResourceVersion:"173770", FieldPath:""}): type: 'Normal' reason: 'CREATE' ConfigMap ingress/nginx-load-balancer-microk8s-conf
I0511 00:22:15.191632       7 event.go:282] Event(v1.ObjectReference{Kind:"ConfigMap", Namespace:"ingress", Name:"nginx-ingress-udp-microk8s-conf", UID:"dc9d8ace-a6f7-4794-9092-a75468a22271", APIVersion:"v1", ResourceVersion:"173772", FieldPath:""}): type: 'Normal' reason: 'CREATE' ConfigMap ingress/nginx-ingress-udp-microk8s-conf
I0511 00:22:16.322393       7 event.go:282] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"nmspc-hoteles", Name:"hoteles-ingress", UID:"eb3f9656-2204-47e7-91b6-fdd04ebf5596", APIVersion:"networking.k8s.io/v1beta1", ResourceVersion:"179522", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
I0511 00:22:16.379649       7 nginx.go:296] "Starting NGINX process"
I0511 00:22:16.379912       7 leaderelection.go:243] attempting to acquire leader lease ingress/ingress-controller-leader-public...
I0511 00:22:16.391493       7 controller.go:146] "Configuration changes detected, backend reload required"
I0511 00:22:16.419974       7 status.go:84] "New leader elected" identity="nginx-ingress-microk8s-controller-v4b8t"
I0511 00:22:16.953747       7 controller.go:163] "Backend successfully reloaded"
I0511 00:22:16.954301       7 controller.go:174] "Initial sync, sleeping for 1 second"
I0511 00:22:16.955565       7 event.go:282] Event(v1.ObjectReference{Kind:"Pod", Namespace:"ingress", Name:"nginx-ingress-microk8s-controller-9jmjd", UID:"7e95467a-b618-4bad-8149-c45e1a9f8f76", APIVersion:"v1", ResourceVersion:"179580", FieldPath:""}): type: 'Normal' reason: 'RELOAD' NGINX reload triggered due to a change in configuration
I0511 00:22:56.050035       7 leaderelection.go:253] successfully acquired lease ingress/ingress-controller-leader-public
I0511 00:22:56.059009       7 status.go:84] "New leader elected" identity="nginx-ingress-microk8s-controller-9jmjd"
I0511 00:22:56.077322       7 status.go:281] "updating Ingress status" namespace="nmspc-hoteles" ingress="hoteles-ingress" currentValue=[] newValue=[{IP:127.0.0.1 Hostname: Ports:[]}]
I0511 00:22:56.144914       7 event.go:282] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"nmspc-hoteles", Name:"hoteles-ingress", UID:"eb3f9656-2204-47e7-91b6-fdd04ebf5596", APIVersion:"networking.k8s.io/v1beta1", ResourceVersion:"179638", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
E0511 00:47:26.207390       7 leaderelection.go:325] error retrieving resource lock ingress/ingress-controller-leader-public: Get "https://10.152.183.1:443/api/v1/namespaces/ingress/configmaps/ingress-controller-leader-public": context deadline exceeded
I0511 00:47:26.207557       7 leaderelection.go:278] failed to renew lease ingress/ingress-controller-leader-public: timed out waiting for the condition
I0511 00:47:26.847819       7 leaderelection.go:243] attempting to acquire leader lease ingress/ingress-controller-leader-public...
W0511 00:51:18.308216       7 reflector.go:436] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: watch of *v1.Service ended with: very short watch: k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Unexpected watch close - watch lasted less than a second and no items received
W0511 00:51:18.308923       7 reflector.go:436] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: watch of *v1.ConfigMap ended with: very short watch: k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Unexpected watch close - watch lasted less than a second and no items received
W0511 00:51:18.312832       7 reflector.go:436] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: watch of *v1.Endpoints ended with: very short watch: k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Unexpected watch close - watch lasted less than a second and no items received
W0511 00:51:18.313360       7 reflector.go:436] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: watch of *v1.Secret ended with: very short watch: k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Unexpected watch close - watch lasted less than a second and no items received
W0511 00:51:18.313970       7 reflector.go:436] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: watch of *v1beta1.Ingress ended with: very short watch: k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Unexpected watch close - watch lasted less than a second and no items received
E0511 00:51:19.178141       7 leaderelection.go:325] error retrieving resource lock ingress/ingress-controller-leader-public: Get "https://10.152.183.1:443/api/v1/namespaces/ingress/configmaps/ingress-controller-leader-public": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:51:19.826717       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1beta1.Ingress: failed to list *v1beta1.Ingress: Get "https://10.152.183.1:443/apis/networking.k8s.io/v1beta1/ingresses?resourceVersion=179638": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:51:19.827946       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.Endpoints: failed to list *v1.Endpoints: Get "https://10.152.183.1:443/api/v1/endpoints?resourceVersion=177325": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:51:19.854613       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.Secret: failed to list *v1.Secret: Get "https://10.152.183.1:443/api/v1/secrets?fieldSelector=%2Ctype%21%3Dhelm.sh%2Frelease.v1&resourceVersion=177264": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:51:20.348342       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.ConfigMap: failed to list *v1.ConfigMap: Get "https://10.152.183.1:443/api/v1/configmaps?labelSelector=OWNER%21%3DTILLER&resourceVersion=181441": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:51:20.374765       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.Service: failed to list *v1.Service: Get "https://10.152.183.1:443/api/v1/services?resourceVersion=177264": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:51:21.816121       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.Secret: failed to list *v1.Secret: Get "https://10.152.183.1:443/api/v1/secrets?fieldSelector=%2Ctype%21%3Dhelm.sh%2Frelease.v1&resourceVersion=177264": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:51:22.298781       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.Service: failed to list *v1.Service: Get "https://10.152.183.1:443/api/v1/services?resourceVersion=177264": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:51:22.732630       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1beta1.Ingress: failed to list *v1beta1.Ingress: Get "https://10.152.183.1:443/apis/networking.k8s.io/v1beta1/ingresses?resourceVersion=179638": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:51:23.333802       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.Endpoints: failed to list *v1.Endpoints: Get "https://10.152.183.1:443/api/v1/endpoints?resourceVersion=177325": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:51:24.111127       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.ConfigMap: failed to list *v1.ConfigMap: Get "https://10.152.183.1:443/api/v1/configmaps?labelSelector=OWNER%21%3DTILLER&resourceVersion=181441": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:51:25.628391       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.Secret: failed to list *v1.Secret: Get "https://10.152.183.1:443/api/v1/secrets?fieldSelector=%2Ctype%21%3Dhelm.sh%2Frelease.v1&resourceVersion=177264": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:51:27.696389       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.ConfigMap: failed to list *v1.ConfigMap: Get "https://10.152.183.1:443/api/v1/configmaps?labelSelector=OWNER%21%3DTILLER&resourceVersion=181441": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:51:28.484343       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.Service: failed to list *v1.Service: Get "https://10.152.183.1:443/api/v1/services?resourceVersion=177264": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:51:28.789619       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1beta1.Ingress: failed to list *v1beta1.Ingress: Get "https://10.152.183.1:443/apis/networking.k8s.io/v1beta1/ingresses?resourceVersion=179638": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:51:28.902128       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.Endpoints: failed to list *v1.Endpoints: Get "https://10.152.183.1:443/api/v1/endpoints?resourceVersion=177325": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:51:31.233767       7 leaderelection.go:325] error retrieving resource lock ingress/ingress-controller-leader-public: Get "https://10.152.183.1:443/api/v1/namespaces/ingress/configmaps/ingress-controller-leader-public": dial tcp 10.152.183.1:443: connect: connection refused
